t,UA1,UB1,IA,UB
"28,3",10.095,7.380,10.095,"73,8"
"28,4",10.215,7.405,10.215,"74,05"
"28,5",10.350,7.430,10.350,"74,3"
"28,6",10.470,7.450,10.470,"74,5"
"28,7",10.590,7.475,10.590,"74,75"
"28,8",10.695,7.500,10.695,75.000
"28,9",10.755,7.525,10.755,"75,25"
28999.000,10.860,7.545,10.860,"75,45"
"29,1",10.965,7.570,10.965,"75,7"
29201.000,11.070,7.595,11.070,"75,95"
"29,3",11.160,7.615,11.160,"76,15"
"29,4",11.265,7.640,11.265,"76,4"
"29,5",11.340,7.670,11.340,"76,7"
"29,6",11.400,7.695,11.400,"76,95"
"29,7",11.490,7.715,11.490,"77,15"
29801.000,11.565,7.740,11.565,"77,4"
"29,9",11.640,7.760,11.640,"77,6"
30.000,11.715,7.785,11.715,"77,85"
30101.000,11.820,7.810,11.820,"78,1"
30201.000,11.865,7.835,11.865,"78,35"
"30,3",11.925,7.860,11.925,"78,6"
"30,4",11.970,7.880,11.970,"78,8"
"30,5",12.015,7.900,12.015,79.000
30599.000,12.045,7.930,12.045,"79,3"
"30,7",12.075,7.950,12.075,"79,5"
"30,8",12.105,7.955,12.105,"79,55"
30901.000,12.090,7.955,12.090,"79,55"
31.000,12.090,7.955,12.090,"79,6"
"31,1",12.090,7.955,12.090,"79,55"
31201.000,12.090,7.955,12.090,"79,55"
31301.000,12.090,7.955,12.090,"79,55"
"31,4",12.090,7.955,12.090,"79,55"
31499.000,12.090,7.955,12.090,"79,55"
"31,6",12.090,7.955,12.090,"79,6"
"31,7",12.090,7.955,12.090,"79,55"
31801.000,12.090,7.955,12.090,"79,55"
"31,9",12.090,7.955,12.090,"79,55"
32.000,12.090,7.955,12.090,"79,55"
"32,1",12.090,7.955,12.090,"79,55"
"32,2",12.105,7.955,12.105,"79,55"
32301.000,12.105,7.955,12.105,"79,55"
"32,4",12.105,7.955,12.105,"79,55"
"32,5",12.105,7.955,12.105,"79,55"
"32,6",12.105,7.955,12.105,"79,55"
"32,7",12.105,7.955,12.105,"79,6"
32801.000,12.105,7.955,12.105,"79,6"
"32,9",12.105,7.955,12.105,"79,55"
33001.000,12.105,7.955,12.090,"79,6"
33101.000,12.105,7.955,12.105,"79,55"
33199.000,12.105,7.955,12.105,"79,55"
"33,3",12.105,7.955,12.105,"79,55"
"33,4",12.105,7.955,12.105,"79,55"
"33,5",12.105,7.955,12.090,"79,55"
"33,6",12.105,7.955,12.090,"79,55"
"33,7",12.105,7.955,12.105,"79,55"
"33,8",12.105,7.955,12.105,"79,55"
33901.000,12.090,7.955,12.090,"79,55"
34.000,12.090,7.955,12.090,"79,6"
"34,1",12.090,7.955,12.090,"79,55"
"34,2",12.090,7.955,12.090,"79,55"
"34,3",12.090,7.955,12.090,"79,55"
"34,4",12.090,7.955,12.090,"79,55"
34501.000,12.090,7.955,12.090,"79,55"
34601.000,12.090,7.955,12.090,"79,55"
"34,7",12.090,7.955,12.090,"79,55"
"34,8",12.090,7.955,12.090,"79,55"
34901.000,12.090,7.955,12.090,"79,55"
35.000,12.090,7.955,12.090,"79,55"
"35,1",12.090,7.955,12.090,"79,55"
35199.000,12.090,7.955,12.090,"79,55"
35301.000,12.090,7.955,12.090,"79,55"
"35,4",12.090,7.955,12.090,"79,6"
35501.000,12.090,7.955,12.090,"79,55"
35601.000,12.090,7.955,12.090,"79,55"
"35,7",12.090,7.955,12.090,"79,55"
"35,8",12.090,7.955,12.090,"79,6"
"35,9",12.090,7.955,12.090,"79,55"
36.000,12.090,7.955,12.090,"79,55"
"36,1",12.090,7.955,12.090,"79,55"
"36,2",12.090,7.955,12.090,"79,55"
"36,3",12.090,7.955,12.090,"79,55"
36401.000,12.090,7.955,12.090,"79,55"
"36,5",12.090,7.955,12.090,"79,55"
36601.000,12.090,7.955,12.090,"79,55"
"36,7",12.090,7.955,12.090,"79,55"
"36,8",12.090,7.960,12.090,"79,6"
"36,9",12.090,7.955,12.090,"79,55"
37001.000,12.090,7.955,12.090,"79,55"
"37,1",12.090,7.955,12.090,"79,55"
37201.000,12.090,7.955,12.090,"79,55"
"37,3",12.090,7.955,12.090,"79,55"
"37,4",12.090,7.955,12.090,"79,55"
"37,5",12.090,7.955,12.090,"79,55"
37599.000,12.090,7.955,12.090,"79,55"
"37,7",12.090,7.955,12.090,"79,55"
"37,8",12.090,7.955,12.075,"79,55"
"37,9",12.090,7.955,12.090,"79,55"
37999.000,12.090,7.955,12.075,"79,55"
"38,1",12.090,7.955,12.090,"79,55"
"38,2",12.090,7.955,12.090,"79,55"
38301.000,12.090,7.955,12.090,"79,55"
"38,4",12.090,7.955,12.075,"79,55"
"38,5",12.090,7.955,12.090,"79,55"
"38,6",12.090,7.955,12.075,"79,55"
38757.000,12.090,7.955,12.090,"79,6"
38801.000,12.090,7.955,12.090,"79,55"
"38,9",12.090,7.955,12.090,"79,55"
39.000,12.090,7.960,12.090,"79,6"
"39,1",12.090,7.955,12.090,"79,55"
"39,2",12.090,7.955,12.090,"79,55"
"39,3",12.090,7.955,12.090,"79,55"
"39,4",12.090,7.960,12.090,"79,6"
39501.000,12.090,7.955,12.090,"79,55"
"39,6",12.090,7.955,12.090,"79,55"
"39,7",12.090,7.955,12.090,"79,55"
"39,8",12.090,7.960,12.090,"79,6"
"39,9",12.090,7.955,12.090,"79,55"
40.000,12.090,7.955,12.090,"79,55"
