espesor,Transmitancia,lnT,constante
0.5,0.3625038,1.01472,2.02944
1,0.1462784,1.92224,1.92224
1.5,0.0602616,2.80905,1.8727
2,0.02464964,3.70298,1.85149
2.5,0.014341326,4.2446,1.69784
3,0.006477732,5.03937,1.67979
